what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731631072
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731637962
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731641837
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731657321
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731668196
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731790537
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731792834
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731793522
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731834990
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731835615
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731835615
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731836490
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731836865
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1258731842474
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1258731848708
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731849927
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731851521
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1258731856567
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1258731864692
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1258731872223
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1258731873052
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1258731873630
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1258731879223
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731880317
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258731885754
